verse_id,text,chapter,ppl_gpt,z_gpt,ppl_dicta,z_dicta,CFI,shared_seam,cfi_percentile
Isa.6.11,ואמר עד מתי אדני ויאמר עד אשר אם שאו ערים מאין יושב ובתים מאין אדם והאדמה תשאה ש,6,47.5947469451,-0.5795183621,222.2656225035,-0.7966226189,-1.3761409809999998,False,22.0
Isa.6.12,ורחק יהוה את האדם ורבה העזובה בקרב הארץ,6,115.4684360263,0.5852493916,4893.3443538168,0.6722728058,1.2575221974000002,False,76.61
Isa.6.13,ועוד בה עשריה ושבה והיתה לבער כאלה וכאלון אשר בשלכת מצבת בם זרע קדש מצבתה,6,189.8981914982,1.6057149064,7952.3062415399,1.6563091847,3.2620240911,False,93.26
Isa.7.1,ויהי בימי אחז בן יותם בן עזיהו מלך יהודה עלה רצין מלך ארם ופקח בן רמליהו מלך ישר,7,12.4442223489,-1.4719531117,342.003978041,-0.8557639461,-2.3277170578,False,0.77
Isa.7.2,ויגד לבית דוד לאמר נחה ארם על אפרים וינע לבבו ולבב עמו כנוע עצי יער מפני רוח,7,96.3343851005,0.1619459192,825.1054087416,-0.5959333725,-0.4339874533,False,52.52
Isa.7.3,ויאמר יהוה אל ישעיהו צא נא לקראת אחז אתה ושאר ישוב בנך אל קצה תעלת הברכה העליונה,7,73.2286844145,0.3735581006,614.4882610743,-0.789243522,-0.41568542140000003,False,52.75
Isa.7.4,ואמרת אליו השמר והשקט אל תירא ולבבך אל ירך משני זנבות האודים העשנים האלה בחרי אף,7,62.5201551383,-0.8885977944,2915.0140339394,-0.4588630738,-1.3474608682,False,23.32
Isa.7.5,יען כי יעץ עליך ארם רעה אפרים ובן רמליהו לאמר,7,69.9847378349,-0.1851311387,2755.2523668718,-0.4572166336,-0.6423477723,False,48.72
Isa.7.6,נעלה ביהודה ונקיצנה ונבקענה אלינו ונמליך מלך בתוכה את בן טבאל,7,146.803467165,1.2023783133,71361.0173636985,1.9980166811,3.2003949944,False,92.8
Isa.7.7,כה אמר אדני יהוה לא תקום ולא תהיה,7,32.3617326293,-1.5531688696,2.0646529051,-0.5363373894,-2.0895062589999998,False,2.87
Isa.7.8,כי ראש ארם דמשק וראש דמשק רצין ובעוד ששים וחמש שנה יחת אפרים מעם,7,144.568294441,0.9962735063,100.3159116634,-0.5090079441,0.48726556219999995,False,65.84
Isa.7.9,וראש אפרים שמרון וראש שמרון בן רמליהו אם לא תאמינו כי לא תאמנו,7,111.5635478214,0.2616679306,1277.2457790933,1.9869585754,2.248626506,False,87.68
Isa.7.10,ויוסף יהוה דבר אל אחז לאמר,7,55.5940102511,-0.8896644489,53.0885896535,-0.5803634691,-1.470027918,False,18.75
Isa.7.11,שאל לך אות מעם יהוה אלהיך העמק שאלה או הגבה למעלה,7,151.4926182843,1.041779464,168.7104457511,-0.6267625039,0.4150169601,False,64.99
Isa.7.12,ויאמר אחז לא אשאל ולא אנסה את יהוה,7,29.7031751711,-0.9312520224,47.2265986183,-0.9179146432,-1.8491666656,False,7.13
Isa.7.13,ויאמר שמעו נא בית דוד המעט מכם הלאות אנשים כי תלאו גם את אלהי,7,150.8844483723,-0.1520354744,863.7372645682,0.1982872366,0.04625176219999999,False,59.26
Isa.7.14,לכן יתן אדני הוא לכם אות הנה העלמה הרה וילדת בן וקראת שמו עמנו אל,7,25.6830931176,-0.8219292611,640.830913537,-0.3570033455,-1.1789326066,False,30.91
